subj,sex,scenario,violation.type,possibility.judgment,age,trial
100,M,3,2,0,25,1
100,M,7,1,1,25,2
100,M,1,2,0,25,3
100,M,2,4,0,25,4
100,M,8,2,0,25,5
100,M,4,2,0,25,6
100,M,5,4,0,25,7
100,M,6,1,1,25,8
101,M,7,3,0,21,1
101,M,6,1,1,21,2
101,M,8,3,0,21,3
101,M,1,2,0,21,4
101,M,5,4,0,21,5
101,M,3,2,0,21,6
101,M,4,2,0,21,7
101,M,2,3,0,21,8
102,F,5,3,0,29,1
102,F,7,2,0,29,2
102,F,1,1,1,29,3
102,F,4,2,0,29,4
102,F,2,4,0,29,5
102,F,8,1,1,29,6
102,F,3,4,0,29,7
102,F,6,3,0,29,8
103,F,8,1,1,26,1
103,F,4,1,1,26,2
103,F,5,1,1,26,3
103,F,7,1,1,26,4
103,F,1,2,0,26,5
103,F,6,4,0,26,6
103,F,3,1,1,26,7
103,F,2,1,1,26,8
104,M,5,2,1,27,1
104,M,1,3,0,27,2
104,M,6,1,1,27,3
104,M,2,3,0,27,4
104,M,3,3,0,27,5
104,M,7,4,0,27,6
104,M,4,4,0,27,7
104,M,8,4,0,27,8
105,F,2,1,1,25,1
105,F,7,2,0,25,2
105,F,8,1,1,25,3
105,F,1,3,0,25,4
105,F,4,4,0,25,5
105,F,6,1,0,25,6
105,F,3,4,0,25,7
105,F,5,4,0,25,8
106,F,5,4,0,33,1
106,F,4,1,1,33,2
106,F,8,1,1,33,3
106,F,2,4,0,33,4
106,F,1,4,1,33,5
106,F,7,2,0,33,6
106,F,3,4,0,33,7
106,F,6,1,1,33,8
107,F,7,2,0,31,1
107,F,2,3,0,31,2
107,F,8,4,0,31,3
107,F,5,2,0,31,4
107,F,4,3,0,31,5
107,F,3,3,0,31,6
107,F,6,1,1,31,7
107,F,1,4,0,31,8
108,M,1,1,1,28,1
108,M,7,4,0,28,2
108,M,5,4,0,28,3
108,M,8,4,0,28,4
108,M,2,4,0,28,5
108,M,4,3,0,28,6
108,M,3,4,0,28,7
108,M,6,2,1,28,8
109,F,7,2,0,25,1
109,F,5,1,1,25,2
109,F,2,4,0,25,3
109,F,3,3,0,25,4
109,F,8,1,0,25,5
109,F,6,3,0,25,6
109,F,4,4,0,25,7
109,F,1,2,1,25,8
110,M,4,2,0,33,1
110,M,3,2,0,33,2
110,M,5,3,0,33,3
110,M,8,3,0,33,4
110,M,1,3,0,33,5
110,M,7,3,0,33,6
110,M,6,2,0,33,7
110,M,2,2,0,33,8
111,M,2,1,1,25,1
111,M,8,4,0,25,2
111,M,3,1,1,25,3
111,M,5,4,1,25,4
111,M,4,4,0,25,5
111,M,7,4,1,25,6
