ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Instr,Sex_Sort,Instr_time_1,Instr_time_2,Instr_time_3,Instr_time_4,Story1B,1B_Improb_1,1B_Improb_2,1B_Improb_3,1B_Improb_4,1B_Immoral_1,1B_Immoral_2,1B_Immoral_3,1B_Immoral_4,1B_Impossible_1,1B_Impossible_2,1B_Impossible_3,1B_Impossible_4,1B_time_1,1B_time_2,1B_time_3,1B_time_4,Story2b,2B_Improbable_1,2B_Improbable_2,2B_Improbable_3,2B_Improbable_4,2B_Immoral_1,2B_Immoral_2,2B_Immoral_3,2B_Immoral_4,2B_Impossible_1,2B_Impossible_2,2B_Impossible_3,2B_Impossible_4,2B_time_1,2B_time_2,2B_time_3,2B_time_4,Story3b,3B_Improbable_1,3B_Improbable_2,3B_Improbable_3,3B_Improbable_4,3B_Immoral_1,3B_Immoral_2,3B_Immoral_3,3B_Immoral_4,3B_Impossible_1,3B_Impossible_2,3B_Impossible_3,3B_Impossible_4,3B_time_1,3B_time_2,3B_time_3,3B_time_4,Story4b,4B_Improbable_1,4B_Improbable_2,4B_Improbable_3,4B_Improbable_4,4B_Immoral_1,4B_Immoral_2,4B_Immoral_3,4B_Immoral_4,4B_Impossible_1,4B_Impossible_2,4B_Impossible_3,4B_Impossible_4,4B_time_1,4B_time_2,4B_time_3,4B_time_4,Story5b,5B_Improbable_1,5B_Improbable_2,5B_Improbable_3,5B_Improbable_4,5B_Immoral_1,5B_Immoral_2,5B_Immoral_3,5B_Immoral_4,5B_Impossible_1,5B_Impossible_2,5B_Impossible_3,5B_Impossible_4,5B_time_1,5B_time_2,5B_time_3,5B_time_4,Story6b,6B_improbable_1,6B_improbable_2,6B_improbable_3,6B_improbable_4,6B_immoral_1,6B_immoral_2,6B_immoral_3,6B_immoral_4,6B_impossible_1,6B_impossible_2,6B_impossible_3,6B_impossible_4,6B_time_1,6B_time_2,6B_time_3,6B_time_4,Story7b,7B_Improbable_1,7B_Improbable_2,7B_Improbable_3,7B_Improbable_4,7B_Immoral_1,7B_Immoral_2,7B_Immoral_3,7B_Immoral_4,7B_Impossible_1,7B_Impossible_2,7B_Impossible_3,7B_Impossible_4,7B_time_1,7B_time_2,7B_time_3,7B_time_4,story8b,8B_Improbable_1,8B_Improbable_2,8B_Improbable_3,8B_Improbable_4,8B_Immoral_1,8B_Immoral_2,8B_Immoral_3,8B_Immoral_4,8B_Impossible_1,8B_Impossible_2,8B_Impossible_3,8B_Impossible_4,8B_time_1,8B_time_2,8B_time_3,8B_time_4,Story1g,1G_Improbable_1,1G_Improbable_2,1G_Improbable_3,1G_Improbable_4,1G_Immoral_1,1G_Immoral_2,1G_Immoral_3,1G_Immoral_4,1G_Impossible_1,1G_Impossible_2,1G_Impossible_3,1G_Impossible_4,1G_time_1,1G_time_2,1G_time_3,1G_time_4,Story2g,2G_Improbable_1,2G_Improbable_2,2G_Improbable_3,2G_Improbable_4,2G_Immoral_1,2G_Immoral_2,2G_Immoral_3,2G_Immoral_4,2G_Impossible_1,2G_Impossible_2,2G_Impossible_3,2G_Impossible_4,2G_time_1,2G_time_2,2G_time_3,2G_time_4,Story3g,3G_Improbable_1,3G_Improbable_2,3G_Improbable_3,3G_Improbable_4,3G_Immoral_1,3G_Immoral_2,3G_Immoral_3,3G_Immoral_4,3G_Impossible_1,3G_Impossible_2,3G_Impossible_3,3G_Impossible_4,3G_time_1,3G_time_2,3G_time_3,3G_time_4,Story4g,4G_improbable_1,4G_improbable_2,4G_improbable_3,4G_improbable_4,4G_immoral_1,4G_immoral_2,4G_immoral_3,4G_immoral_4,4G_impossible_1,4G_impossible_2,4G_impossible_3,4G_impossible_4,4G_time_1,4G_time_2,4G_time_3,4G_time_4,Story5g,5G_improbable_1,5G_improbable_2,5G_improbable_3,5G_improbable_4,5G_Immoral_1,5G_Immoral_2,5G_Immoral_3,5G_Immoral_4,5G_Impossible_1,5G_Impossible_2,5G_Impossible_3,5G_Impossible_4,5G_time_1,5G_time_2,5G_time_3,5G_time_4,Story6g,6G_improbable_1,6G_improbable_2,6G_improbable_3,6G_improbable_4,6G_immoral_1,6G_immoral_2,6G_immoral_3,6G_immoral_4,6G_impossible_1,6G_impossible_2,6G_impossible_3,6G_impossible_4,6G_time_1,6G_time_2,6G_time_3,6G_time_4,Story7g,7G_improbable_1,7G_improbable_2,7G_improbable_3,7G_improbable_4,7G_immoral_1,7G_immoral_2,7G_immoral_3,7G_immoral_4,7G_impossible_1,7G_impossible_2,7G_impossible_3,7G_impossible_4,7G_time_1,7G_time_2,7G_time_3,7G_time_4,Story8g,8G_improbable_1,8G_improbable_2,8G_improbable_3,8G_improbable_4,8G_immoral_1,8G_immoral_2,8G_immoral_3,8G_immoral_4,8G_impossible_1,8G_impossible_2,8G_impossible_3,8G_impossible_4,8G_time_1,8G_time_2,8G_time_3,8G_time_4,Demo_Instr,Age,Gender,Ethnicity,Education,SES,Lang,DO-BR-FL_29,DO-BR-FL_28,DO-BL-Story1B,DO-BL-Story2B,DO-BL-Story3B,DO-BL-Story4B,DO-BL-Story5B,DO-BL-Story6B,DO-BL-Story7B,DO-BL-Story8B,DO-BL-Story1G,DO-BL-Story2G,DO-BL-Story3G,DO-BL-Story4G,DO-BL-Story5G,DO-BL-Story6G,DO-BL-Story7G,DO-BL-Story8G,DO-Q-1B_Improb,DO-Q-3B_Improbable,DO-Q-4B_Improbable,DO-Q-5B_Improbable,DO-Q-6B_improbable,DO-Q-7B_Improbable,DO-Q-8B_Improbable,DO-Q-1G_Improbable,DO-Q-2G_Improbable,DO-Q-3G_Improbable,DO-Q-4G_improbable,DO-Q-5G_improbable,DO-Q-6G_improbable,DO-Q-7G_improbable,DO-Q-8G_improbable,DO-Q-2B_Improbable,DO-Q-1B_Immoral,DO-Q-1B_Impossible,DO-Q-2B_Impossible,DO-Q-3B_Impossible,DO-Q-4B_Impossible,DO-Q-5B_Impossible,DO-Q-6B_impossible,DO-Q-7B_Impossible,DO-Q-8B_Impossible,DO-Q-1G_Impossible,DO-Q-2G_Impossible,DO-Q-3G_Impossible,DO-Q-4G_impossible,DO-Q-5G_Impossible,DO-Q-6G_impossible,DO-Q-7G_impossible,DO-Q-8G_impossible,DO-Q-2B_Immoral,DO-Q-3B_Immoral,DO-Q-4B_Immoral,DO-Q-5B_Immoral,DO-Q-6B_immoral,DO-Q-7B_Immoral,DO-Q-8B_Immoral,DO-Q-1G_Immoral,DO-Q-2G_Immoral,DO-Q-3G_Immoral,DO-Q-5G_Immoral,DO-Q-6G_immoral,DO-Q-7G_immoral,DO-Q-8G_immoral,DO-Q-4G_immoral,LocationLatitude,LocationLongitude,LocationAccuracy
R_1qdJo52A5cS6HGV,Default Response Set,Anonymous,,,158.103.0.1,0,3/21/2017 10:01,3/21/2017 10:02,1,1,1,1,12.987,12.987,18.273,1,1,2,2,2,1,,,,,,,,,3.801,4.752,6.467,4,1,2,2,1,3,,,,,,,,,4.474,5.586,6.934,5,1,2,1,1,2,,,,,,,,,1.427,2.188,3.561,4,1,,,,,2,1,3,2,,,,,1.539,2.46,4.077,4,1,2,2,3,2,,,,,,,,,1.346,5.093,6.043,8,1,,,,,,,,,2,1,2,2,3.495,4.403,5.963,4,1,1,1,3,2,,,,,,,,,5.876,7.424,8.413,4,1,,,,,2,3,3,2,,,,,1.665,3.366,4.418,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,1,1,4,5,1,Story 1B|Story 6B|Story 2B|Story 4B|Story 8B|Story 3B|Story 5B|Story 7B,,Story1B|1B_Improb|1B_time,Story2b|2B_Improbable|2B_time,Story3b|3B_Improbable|3B_time,Story4b|4B_Immoral|4B_time,Story5b|5B_Improbable|5B_time,Story6b|6B_impossible|6B_time,Story7b|7B_Improbable|7B_time,story8b|8B_Immoral|8B_time,,,,,,,,,2|3|1|4,4|1|2|3,1|2|3|4,4|2|3|1,1|2|3|4,4|2|1|3,1|2|3|4,,,,,,,,,4|2|1|3,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,3|1|4|2,1|2|3|4,1|2|3|4,,,,,,,,,1|2|3|4,1|2|3|4,3|1|4|2,1|2|3|4,8|9|10|11,1|2|3|4,1|2|3|4,,,,,,,,,39.43899536,-76.59210205,-1
R_3PzzndKXJEL7wZG,Default Response Set,Anonymous,,,98.242.255.44,0,3/21/2017 10:01,3/21/2017 10:03,1,1,1,1,0.843,2.212,5.19,3,1,,,,,,,,,1,3,2,2,2.537,11.752,12.252,17,1,,,,,,,,,1,2,2,2,4.007,9.688,10.989,10,1,,,,,,,,,3,1,2,2,1.312,22.376,22.707,9,1,,,,,3,2,1,2,,,,,1.839,14.369,15.411,13,1,1,1,2,2,,,,,,,,,7.821,14.864,15.391,6,1,1,1,2,2,,,,,,,,,4.231,12.96,13.517,12,1,,,,,,,,,1,1,2,2,1.095,15.548,15.948,14,1,1,3,2,2,,,,,,,,,1.74,27.562,27.859,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1,3,5,7,1,Story 8B|Story 5B|Story 4B|Story 3B|Story 2B|Story 7B|Story 1B|Story 6B,,Story1B|1B_Impossible|1B_time,Story2b|2B_Impossible|2B_time,Story3b|3B_Impossible|3B_time,Story4b|4B_Immoral|4B_time,Story5b|5B_Improbable|5B_time,Story6b|6B_improbable|6B_time,Story7b|7B_Impossible|7B_time,story8b|8B_Improbable|8B_time,,,,,,,,,1|2|3|4,1|2|3|4,1|2|3|4,2|1|4|3,2|3|1|4,1|2|3|4,1|4|3|2,,,,,,,,,1|2|3|4,1|2|3|4,3|2|1|4,2|1|3|4,1|4|3|2,1|2|3|4,1|2|3|4,1|2|3|4,2|4|1|3,1|2|3|4,,,,,,,,,1|2|3|4,1|2|3|4,4|3|2|1,1|2|3|4,8|9|10|11,1|2|3|4,1|2|3|4,,,,,,,,,25.98249817,-80.34339905,-1
R_2S152yHwUdf5Soo,Default Response Set,Anonymous,,,172.5.83.226,0,3/21/2017 10:01,3/21/2017 10:03,1,1,1,1,19.707,19.707,28.944,1,1,,,,,1,2,2,1,,,,,2.026,3.929,4.519,5,1,1,1,1,2,,,,,,,,,3.602,4.687,5.298,4,1,,,,,1,2,2,1,,,,,2.187,3.737,5.666,4,1,,,,,,,,,1,1,1,1,3.01,9.054,9.976,6,1,,,,,2,2,1,2,,,,,4.251,6.047,6.713,5,1,1,1,2,2,,,,,,,,,7.768,9.301,10.595,4,1,,,,,,,,,2,1,1,2,7.926,12.126,13.683,5,1,1,1,2,2,,,,,,,,,21.498,23.426,24.211,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,3,5,6,1,Story 6B|Story 7B|Story 4B|Story 5B|Story 8B|Story 3B|Story 2B|Story 1B,,Story1B|1B_Immoral|1B_time,Story2b|2B_Improbable|2B_time,Story3b|3B_Immoral|3B_time,Story4b|4B_Impossible|4B_time,Story5b|5B_Immoral|5B_time,Story6b|6B_improbable|6B_time,Story7b|7B_Impossible|7B_time,story8b|8B_Improbable|8B_time,,,,,,,,,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,4|2|1|3,1|2|3|4,3|1|2|4,,,,,,,,,3|1|2|4,3|1|4|2,1|2|3|4,1|2|3|4,1|2|3|4,3|2|1|4,1|2|3|4,1|2|3|4,2|1|4|3,1|2|3|4,,,,,,,,,1|2|3|4,4|3|2|1,1|2|3|4,4|2|3|1,8|9|10|11,1|2|3|4,1|2|3|4,,,,,,,,,38.98500061,-95.34359741,-1
R_XTDLdNssI31CzlL,Default Response Set,Anonymous,,,68.41.210.160,0,3/21/2017 10:01,3/21/2017 10:04,1,1,1,1,1.204,1.204,6.565,1,1,1,1,1,1,,,,,,,,,1.397,3.059,5.101,7,1,,,,,1,1,1,1,,,,,4.241,5.761,7.831,7,1,1,1,1,2,,,,,,,,,20.38,26.601,27.445,6,1,,,,,1,1,2,1,,,,,4.809,11.359,11.828,10,1,1,1,1,2,,,,,,,,,13.681,19.241,20.784,6,1,1,1,1,1,,,,,,,,,3.088,4.483,5.705,5,1,1,1,1,1,,,,,,,,,17.271,18.822,20.649,4,1,1,1,2,1,,,,,,,,,4.615,23.222,29.267,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1,5,2,6,1,Story 7B|Story 8B|Story 5B|Story 3B|Story 4B|Story 2B|Story 1B|Story 6B,,Story1B|1B_Improb|1B_time,Story2b|2B_Immoral|2B_time,Story3b|3B_Improbable|3B_time,Story4b|4B_Immoral|4B_time,Story5b|5B_Improbable|5B_time,Story6b|6B_improbable|6B_time,Story7b|7B_Improbable|7B_time,story8b|8B_Improbable|8B_time,,,,,,,,,4|3|2|1,3|1|2|4,1|2|3|4,2|1|4|3,3|4|1|2,2|3|4|1,2|3|4|1,,,,,,,,,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,,,,,,,,,2|1|4|3,1|2|3|4,2|3|4|1,1|2|3|4,8|9|10|11,1|2|3|4,1|2|3|4,,,,,,,,,43.17759705,-83.7071991,-1
R_1mrtn6279X6tQ9H,Default Response Set,Anonymous,,,74.128.101.140,0,3/21/2017 10:01,3/21/2017 10:05,1,1,1,1,7.287,7.287,8.515,1,1,,,,,,,,,1,3,2,2,4.32,19.128,19.924,7,1,,,,,3,1,1,2,,,,,15.326,28.502,29.378,4,1,,,,,,,,,1,3,2,2,11.294,17.767,19.099,4,1,,,,,,,,,1,3,2,2,5.866,16.177,16.613,5,1,,,,,,,,,1,3,2,2,11.531,29.283,31.015,5,1,,,,,,,,,1,3,2,2,19.8,32.063,33.01,4,1,,,,,3,2,1,2,,,,,8.789,19.606,20.61,4,1,,,,,3,2,1,2,,,,,14.947,28.819,29.954,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,5,3,6,1,Story 8B|Story 2B|Story 5B|Story 6B|Story 7B|Story 1B|Story 3B|Story 4B,,Story1B|1B_Impossible|1B_time,Story2b|2B_Immoral|2B_time,Story3b|3B_Impossible|3B_time,Story4b|4B_Impossible|4B_time,Story5b|5B_Impossible|5B_time,Story6b|6B_impossible|6B_time,Story7b|7B_Immoral|7B_time,story8b|8B_Immoral|8B_time,,,,,,,,,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,,,,,,,,,1|2|3|4,1|2|3|4,3|1|2|4,1|2|3|4,3|2|4|1,3|1|2|4,3|4|2|1,3|2|1|4,1|2|3|4,1|2|3|4,,,,,,,,,4|1|3|2,1|2|3|4,1|2|3|4,1|2|3|4,8|9|10|11,2|4|1|3,2|4|1|3,,,,,,,,,39.09039307,-84.70110321,-1
R_3qlCkJ0W6aCHThO,Default Response Set,Anonymous,,,216.15.59.152,0,3/21/2017 10:01,3/21/2017 10:05,1,1,1,1,5.356,6.126,7.445,2,1,,,,,,,,,1,2,2,2,19.126,30.262,33.747,4,1,,,,,,,,,1,2,2,2,10.977,18.385,23.109,8,1,,,,,3,2,2,3,,,,,7.401,21.699,22.519,7,1,3,3,1,3,,,,,,,,,17.894,24.557,25.637,4,1,,,,,3,2,1,3,,,,,9.31,21.455,22.233,5,1,,,,,3,3,1,3,,,,,12.246,24.468,25.396,5,1,,,,,1,2,1,3,,,,,20.017,29.758,31.952,6,1,,,,,,,,,2,2,2,2,2.783,23.525,33.934,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,5,4,7,1,Story 7B|Story 6B|Story 3B|Story 4B|Story 8B|Story 5B|Story 2B|Story 1B,,Story1B|1B_Impossible|1B_time,Story2b|2B_Impossible|2B_time,Story3b|3B_Immoral|3B_time,Story4b|4B_Improbable|4B_time,Story5b|5B_Immoral|5B_time,Story6b|6B_immoral|6B_time,Story7b|7B_Immoral|7B_time,story8b|8B_Impossible|8B_time,,,,,,,,,1|2|3|4,1|2|3|4,4|2|3|1,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,,,,,,,,,1|2|3|4,1|2|3|4,3|4|1|2,4|1|3|2,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,1|3|2|4,,,,,,,,,1|2|3|4,3|1|2|4,1|2|3|4,1|2|4|3,11|9|8|10,4|3|1|2,1|2|3|4,,,,,,,,,38.93449402,-77.05960083,-1
R_3oRcmq0fnrxQ0aZ,Default Response Set,Anonymous,,,50.142.237.4,0,3/21/2017 10:01,3/21/2017 10:05,1,1,1,1,16.26,16.26,16.628,1,1,,,,,2,1,1,2,,,,,2.925,46.83,47.823,6,1,,,,,2,1,1,2,,,,,3.641,9.587,10.543,6,1,,,,,,,,,3,2,2,1,7.984,20.01,20.995,6,1,,,,,,,,,2,2,1,1,5.898,8.473,17.641,2,1,,,,,,,,,2,1,1,1,11.591,19.869,25.716,4,1,,,,,2,3,2,1,,,,,4.25,20.621,21.348,7,1,,,,,3,2,1,2,,,,,14.319,28.034,29.687,5,1,,,,,,,,,2,1,1,1,12.961,24.22,25.766,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,1,5,4,6,1,Story 4B|Story 5B|Story 8B|Story 6B|Story 7B|Story 3B|Story 1B|Story 2B,,Story1B|1B_Immoral|1B_time,Story2b|2B_Immoral|2B_time,Story3b|3B_Impossible|3B_time,Story4b|4B_Impossible|4B_time,Story5b|5B_Impossible|5B_time,Story6b|6B_immoral|6B_time,Story7b|7B_Immoral|7B_time,story8b|8B_Impossible|8B_time,,,,,,,,,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,,,,,,,,,1|2|3|4,4|1|2|3,1|2|3|4,1|2|3|4,3|2|4|1,4|2|3|1,1|4|2|3,1|2|3|4,1|2|3|4,2|3|4|1,,,,,,,,,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,8|11|10|9,3|4|2|1,1|2|3|4,,,,,,,,,36.05819702,-83.91470337,-1
R_5jRyUQFAMqyvdC1,Default Response Set,Anonymous,,,184.16.252.141,0,3/21/2017 10:01,3/21/2017 10:05,1,1,1,2,6.667,6.667,10.816,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,1,1,2,,,,,7.42,17.686,18.371,5,1,,,,,,,,,1,2,2,2,6.953,25.547,25.767,7,1,,,,,,,,,3,2,2,2,12.716,21.905,22.382,7,1,,,,,3,2,1,2,,,,,7.666,19.124,19.634,5,1,3,1,2,2,,,,,,,,,15.561,29.597,30.234,4,1,,,,,,,,,1,2,2,2,12.143,19.081,19.558,4,1,,,,,3,1,1,2,,,,,18.591,27.901,29.772,5,1,,,,,,,,,1,2,2,2,12.073,41.046,41.891,6,,24,2,5,4,8,1,,Story 8G|Story 4G|Story 1G|Story 6G|Story 5G|Story 2G|Story 7G|Story 3G,,,,,,,,,Story1g|1G_Immoral|1G_time,Story2g|2G_Impossible|2G_time,Story3g|3G_Impossible|3G_time,Story4g|4G_immoral|4G_time,Story5g|5G_improbable|5G_time,Story6g|6G_impossible|6G_time,Story7g|7G_immoral|7G_time,Story8g|8G_impossible|8G_time,,,,,,,,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,4|2|1|3,1|2|3|4,1|2|3|4,1|2|3|4,,,,,,,,,,,1|2|3|4,1|4|3|2,3|2|4|1,1|2|3|4,1|2|3|4,4|2|1|3,1|2|3|4,1|4|2|3,,,,,,,,1|4|2|3,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,3|1|4|2,1|2|3|4,2|3|1|4,41.15690613,-85.05560303,-1
R_bswG3uW3XElRpFn,Default Response Set,Anonymous,,,47.152.251.26,0,3/21/2017 10:03,3/21/2017 10:05,1,1,1,2,2.746,2.746,6.138,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,2,2,1,1.282,2.272,2.754,4,1,,,,,,,,,1,2,1,2,9.203,10.353,10.613,5,1,,,,,1,1,2,2,,,,,2.803,3.969,5.023,4,1,2,2,2,1,,,,,,,,,1.181,3.347,3.798,6,1,,,,,,,,,2,2,2,1,11.571,14.781,15.066,6,1,2,2,1,2,,,,,,,,,1.423,2.647,3.128,4,1,1,1,2,3,,,,,,,,,1.24,2.758,3.141,4,1,1,1,2,2,,,,,,,,,12.91,29.113,30.276,6,,25,2,5,4,5,1,,Story 1G|Story 7G|Story 6G|Story 4G|Story 2G|Story 8G|Story 5G|Story 3G,,,,,,,,,Story1g|1G_Impossible|1G_time,Story2g|2G_Impossible|2G_time,Story3g|3G_Immoral|3G_time,Story4g|4G_improbable|4G_time,Story5g|5G_Impossible|5G_time,Story6g|6G_improbable|6G_time,Story7g|7G_improbable|7G_time,Story8g|8G_improbable|8G_time,,,,,,,,1|2|3|4,1|2|3|4,1|2|3|4,2|3|4|1,1|2|3|4,2|1|3|4,1|2|4|3,1|3|4|2,,,,,,,,,,,3|4|1|2,4|3|2|1,1|2|3|4,1|2|3|4,1|4|3|2,1|2|3|4,1|2|3|4,1|2|3|4,,,,,,,,1|2|3|4,1|2|3|4,3|1|4|2,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,34.10440063,-117.0485992,-1
R_1eJZmZTcIqFiwMx,Default Response Set,Anonymous,,,199.227.131.146,0,3/21/2017 10:01,3/21/2017 10:05,1,1,1,1,10.876,10.876,13.55,1,1,,,,,3,1,1,2,,,,,6.723,19.142,19.622,5,1,1,2,2,2,,,,,,,,,2.516,12.099,12.547,6,1,,,,,,,,,1,1,2,2,16.332,27.603,30.131,4,1,1,1,2,2,,,,,,,,,6.387,12.458,12.888,4,1,1,1,2,2,,,,,,,,,9.848,20.416,21.328,4,1,,,,,,,,,1,1,2,2,7.583,13.486,14.214,5,1,,,,,,,,,1,2,2,2,10.302,20.688,21.302,15,1,,,,,,,,,1,2,2,2,8.044,13.765,14.429,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1,3,4,7,1,Story 3B|Story 5B|Story 6B|Story 1B|Story 7B|Story 8B|Story 2B|Story 4B,,Story1B|1B_Immoral|1B_time,Story2b|2B_Improbable|2B_time,Story3b|3B_Impossible|3B_time,Story4b|4B_Improbable|4B_time,Story5b|5B_Improbable|5B_time,Story6b|6B_impossible|6B_time,Story7b|7B_Impossible|7B_time,story8b|8B_Impossible|8B_time,,,,,,,,,1|2|3|4,1|2|3|4,1|2|3|4,1|4|3|2,1|2|3|4,1|2|3|4,1|2|3|4,,,,,,,,,3|1|2|4,3|2|4|1,1|2|3|4,1|2|3|4,4|2|1|3,1|2|3|4,1|2|3|4,3|4|1|2,3|2|4|1,3|4|2|1,,,,,,,,,1|2|3|4,1|2|3|4,1|2|3|4,1|2|3|4,8|9|10|11,1|2|3|4,1|2|3|4,,,,,,,,,29.83270264,-95.66269684,-1
