subj,scenario,trial,violation.type,possibility.judgment,sex,age,ethnicity,ethnicityText,education,ses
201,1,8,3,7,F,50,5,,4,8
201,2,2,1,6,F,50,5,,4,8
201,3,1,3,7,F,50,5,,4,8
201,4,3,4,7,F,50,5,,4,8
201,5,7,4,7,F,50,5,,4,8
201,6,6,4,7,F,50,5,,4,8
201,7,5,3,7,F,50,5,,4,8
201,8,4,2,7,F,50,5,,4,8
202,1,1,3,7,M,43,5,,4,6
202,2,3,1,6,M,43,5,,4,6
202,3,5,3,7,M,43,5,,4,6
202,4,2,4,7,M,43,5,,4,6
202,5,8,3,7,M,43,5,,4,6
202,6,7,1,6,M,43,5,,4,6
202,7,6,2,7,M,43,5,,4,6
202,8,4,2,7,M,43,5,,4,6
203,1,5,4,7,F,26,5,,4,8
203,2,7,2,7,F,26,5,,4,8
203,3,1,4,7,F,26,5,,4,8
203,4,4,2,7,F,26,5,,4,8
203,5,8,3,7,F,26,5,,4,8
203,6,2,3,7,F,26,5,,4,8
203,7,6,1,6,F,26,5,,4,8
203,8,3,2,7,F,26,5,,4,8
204,1,3,4,7,M,32,5,,5,6
204,2,2,4,7,M,32,5,,5,6
204,3,6,1,6,M,32,5,,5,6
204,4,7,2,7,M,32,5,,5,6
204,5,5,2,7,M,32,5,,5,6
204,6,4,2,7,M,32,5,,5,6
204,7,1,1,6,M,32,5,,5,6
204,8,8,3,7,M,32,5,,5,6
205,1,2,1,6,F,33,5,,4,6
205,2,4,4,7,F,33,5,,4,6
205,3,8,3,7,F,33,5,,4,6
205,4,7,4,7,F,33,5,,4,6
205,5,5,2,7,F,33,5,,4,6
205,6,3,4,7,F,33,5,,4,6
205,7,6,3,7,F,33,5,,4,6
205,8,1,3,7,F,33,5,,4,6
206,1,1,3,7,M,34,5,,3,10
206,2,5,4,7,M,34,5,,3,10
206,3,4,3,7,M,34,5,,3,10
206,4,7,1,6,M,34,5,,3,10
206,5,3,4,7,M,34,5,,3,10
206,6,8,2,7,M,34,5,,3,10
206,7,6,4,7,M,34,5,,3,10
206,8,2,2,7,M,34,5,,3,10
207,1,3,3,7,M,31,5,,2,7
207,2,4,3,7,M,31,5,,2,7
207,3,8,4,7,M,31,5,,2,7
207,4,5,3,7,M,31,5,,2,7
207,5,2,2,7,M,31,5,,2,7
207,6,6,1,6,M,31,5,,2,7
207,7,7,2,7,M,31,5,,2,7
207,8,1,1,6,M,31,5,,2,7
208,1,8,2,7,F,50,5,,6,5
208,2,2,2,7,F,50,5,,6,5
208,3,7,3,7,F,50,5,,6,5
208,4,6,2,6,F,50,5,,6,5
208,5,4,3,7,F,50,5,,6,5
208,6,3,1,6,F,50,5,,6,5
208,7,1,3,7,F,50,5,,6,5
208,8,5,1,6,F,50,5,,6,5
209,1,7,1,6,M,33,5,,2,8
209,2,5,3,7,M,33,5,,2,8
209,3,8,4,7,M,33,5,,2,8
209,4,4,3,7,M,33,5,,2,8
209,5,1,3,7,M,33,5,,2,8
209,6,3,1,6,M,33,5,,2,8
209,7,6,4,7,M,33,5,,2,8
209,8,2,4,7,M,33,5,,2,8
210,1,7,4,7,F,19,5,,4,5
210,2,5,3,7,F,19,5,,4,5
210,3,8,1,6,F,19,5,,4,5
210,4,4,1,7,F,19,5,,4,5
210,5,2,3,7,F,19,5,,4,5
210,6,1,4,7,F,19,5,,4,5
210,7,3,4,7,F,19,5,,4,5
210,8,6,1,6,F,19,5,,4,5
211,1,4,1,6,F,28,5,,2,7
211,2,2,2,7,F,28,5,,2,7
211,3,1,1,6,F,28,5,,2,7
211,4,7,1,6,F,28,5,,2,7
211,5,5,1,6,F,28,5,,2,7
211,6,6,1,6,F,28,5,,2,7
211,7,3,3,7,F,28,5,,2,7
211,8,8,2,7,F,28,5,,2,7
212,1,1,1,6,F,35,5,,5,6
212,2,4,3,7,F,35,5,,5,6
212,3,5,3,6,F,35,5,,5,6
212,4,8,4,7,F,35,5,,5,6
212,5,2,1,7,F,35,5,,5,6
212,6,6,3,7,F,35,5,,5,6
212,7,7,4,7,F,35,5,,5,6
212,8,3,3,7,F,35,5,,5,6
213,1,5,4,7,F,52,5,,4,10
213,2,4,4,7,F,52,5,,4,10
213,3,6,2,7,F,52,5,,4,10
213,4,1,1,7,F,52,5,,4,10
213,5,3,2,7,F,52,5,,4,10
213,6,7,2,7,F,52,5,,4,10
213,7,2,1,7,F,52,5,,4,10
213,8,8,2,7,F,52,5,,4,10
214,1,1,2,7,M,32,5,,6,5
214,2,2,4,7,M,32,5,,6,5
214,3,4,2,7,M,32,5,,6,5
214,4,7,2,7,M,32,5,,6,5
214,5,5,1,6,M,32,5,,6,5
214,6,6,4,7,M,32,5,,6,5
214,7,3,2,7,M,32,5,,6,5
214,8,8,3,7,M,32,5,,6,5
215,1,8,3,7,M,26,5,,5,4
215,2,5,4,7,M,26,5,,5,4
215,3,4,4,7,M,26,5,,5,4
215,4,1,2,7,M,26,5,,5,4
215,5,7,1,6,M,26,5,,5,4
215,6,6,3,7,M,26,5,,5,4
215,7,2,2,7,M,26,5,,5,4
215,8,3,2,7,M,26,5,,5,4
216,1,2,2,7,F,24,5,,2,8
216,2,1,1,6,F,24,5,,2,8
216,3,6,2,7,F,24,5,,2,8
216,4,7,2,7,F,24,5,,2,8
216,5,3,3,7,F,24,5,,2,8
216,6,4,2,7,F,24,5,,2,8
216,7,8,4,7,F,24,5,,2,8
216,8,5,4,7,F,24,5,,2,8
217,1,8,4,7,F,25,5,,4,4
217,2,7,2,7,F,25,5,,4,4
217,3,3,2,7,F,25,5,,4,4
217,4,6,3,7,F,25,5,,4,4
217,5,5,4,7,F,25,5,,4,4
217,6,4,2,7,F,25,5,,4,4
217,7,1,4,7,F,25,5,,4,4
217,8,2,4,7,F,25,5,,4,4
218,1,5,1,6,M,22,5,,4,3
218,2,7,1,6,M,22,5,,4,3
218,3,8,2,6,M,22,5,,4,3
218,4,6,4,7,M,22,5,,4,3
218,5,2,1,6,M,22,5,,4,3
218,6,3,1,6,M,22,5,,4,3
218,7,4,4,7,M,22,5,,4,3
218,8,1,3,7,M,22,5,,4,3
219,1,5,2,6,F,29,5,,6,10
219,2,2,3,7,F,29,5,,6,10
219,3,4,2,6,F,29,5,,6,10
219,4,8,3,7,F,29,5,,6,10
219,5,1,2,6,F,29,5,,6,10
219,6,6,2,7,F,29,5,,6,10
219,7,7,4,7,F,29,5,,6,10
219,8,3,4,7,F,29,5,,6,10
220,1,7,3,7,M,25,2,,4,5
220,2,6,1,6,M,25,2,,4,5
220,3,4,4,7,M,25,2,,4,5
220,4,2,4,7,M,25,2,,4,5
220,5,5,2,7,M,25,2,,4,5
220,6,8,2,7,M,25,2,,4,5
220,7,1,3,7,M,25,2,,4,5
220,8,3,4,7,M,25,2,,4,5
221,1,8,4,7,M,19,5,,4,3
221,2,2,2,7,M,19,5,,4,3
221,3,3,2,7,M,19,5,,4,3
221,4,4,1,6,M,19,5,,4,3
221,5,6,2,7,M,19,5,,4,3
221,6,7,4,7,M,19,5,,4,3
221,7,1,4,7,M,19,5,,4,3
221,8,5,2,7,M,19,5,,4,3
222,1,5,4,7,M,29,5,,4,7
222,2,8,1,6,M,29,5,,4,7
222,3,6,3,6,M,29,5,,4,7
222,4,2,4,7,M,29,5,,4,7
222,5,4,3,7,M,29,5,,4,7
222,6,7,1,6,M,29,5,,4,7
222,7,3,2,7,M,29,5,,4,7
222,8,1,3,7,M,29,5,,4,7
223,1,4,4,7,F,24,5,,6,6
223,2,6,1,6,F,24,5,,6,6
223,3,8,3,7,F,24,5,,6,6
223,4,1,2,7,F,24,5,,6,6
223,5,3,4,7,F,24,5,,6,6
223,6,5,2,7,F,24,5,,6,6
223,7,2,4,7,F,24,5,,6,6
223,8,7,2,7,F,24,5,,6,6
224,1,2,1,6,M,32,3,,5,8
224,2,3,1,6,M,32,3,,5,8
224,3,8,4,7,M,32,3,,5,8
224,4,4,2,7,M,32,3,,5,8
224,5,5,4,7,M,32,3,,5,8
224,6,6,1,6,M,32,3,,5,8
224,7,1,1,6,M,32,3,,5,8
224,8,7,4,7,M,32,3,,5,8
225,1,1,4,7,M,19,6,Mixed (Asian-White),4,6
225,2,8,4,7,M,19,6,Mixed (Asian-White),4,6
225,3,3,2,7,M,19,6,Mixed (Asian-White),4,6
225,4,4,4,7,M,19,6,Mixed (Asian-White),4,6
225,5,2,2,7,M,19,6,Mixed (Asian-White),4,6
225,6,5,2,7,M,19,6,Mixed (Asian-White),4,6
225,7,7,2,6,M,19,6,Mixed (Asian-White),4,6
225,8,6,3,7,M,19,6,Mixed (Asian-White),4,6
226,1,5,1,6,M,25,5,,4,8
226,2,6,3,7,M,25,5,,4,8
226,3,4,4,7,M,25,5,,4,8
226,4,8,3,7,M,25,5,,4,8
226,5,2,2,7,M,25,5,,4,8
226,6,3,3,7,M,25,5,,4,8
226,7,1,4,7,M,25,5,,4,8
226,8,7,3,7,M,25,5,,4,8
227,1,6,2,7,M,28,5,,4,9
227,2,1,1,6,M,28,5,,4,9
227,3,5,2,7,M,28,5,,4,9
227,4,4,2,7,M,28,5,,4,9
227,5,7,4,7,M,28,5,,4,9
227,6,3,1,6,M,28,5,,4,9
227,7,8,2,7,M,28,5,,4,9
227,8,2,3,7,M,28,5,,4,9
228,1,1,4,7,M,33,4,,3,7
228,2,3,2,7,M,33,4,,3,7
228,3,4,2,7,M,33,4,,3,7
228,4,7,2,7,M,33,4,,3,7
228,5,5,1,6,M,33,4,,3,7
228,6,2,1,6,M,33,4,,3,7
228,7,8,3,7,M,33,4,,3,7
228,8,6,3,7,M,33,4,,3,7
229,1,8,3,7,F,32,5,,4,6
229,2,2,3,7,F,32,5,,4,6
229,3,4,4,7,F,32,5,,4,6
229,4,7,1,6,F,32,5,,4,6
229,5,3,2,7,F,32,5,,4,6
229,6,6,1,6,F,32,5,,4,6
229,7,1,4,7,F,32,5,,4,6
229,8,5,3,7,F,32,5,,4,6
230,1,8,4,7,M,23,5,,4,4
230,2,7,3,7,M,23,5,,4,4
230,3,1,1,6,M,23,5,,4,4
230,4,5,4,7,M,23,5,,4,4
230,5,6,1,6,M,23,5,,4,4
230,6,4,2,7,M,23,5,,4,4
230,7,2,2,7,M,23,5,,4,4
230,8,3,1,6,M,23,5,,4,4
231,1,5,2,7,M,28,5,,4,9
231,2,6,4,7,M,28,5,,4,9
231,3,1,2,7,M,28,5,,4,9
231,4,3,2,7,M,28,5,,4,9
231,5,2,3,7,M,28,5,,4,9
231,6,8,3,7,M,28,5,,4,9
231,7,7,1,6,M,28,5,,4,9
231,8,4,1,6,M,28,5,,4,9
232,1,6,2,6,F,47,5,,4,7
232,2,1,2,6,F,47,5,,4,7
232,3,5,3,7,F,47,5,,4,7
232,4,3,3,7,F,47,5,,4,7
232,5,8,1,6,F,47,5,,4,7
232,6,2,3,7,F,47,5,,4,7
232,7,4,3,6,F,47,5,,4,7
232,8,7,3,7,F,47,5,,4,7
233,1,1,1,6,M,26,5,,4,8
233,2,4,1,6,M,26,5,,4,8
233,3,5,4,7,M,26,5,,4,8
233,4,6,3,7,M,26,5,,4,8
233,5,8,2,7,M,26,5,,4,8
233,6,7,4,7,M,26,5,,4,8
233,7,2,3,7,M,26,5,,4,8
233,8,3,4,7,M,26,5,,4,8
234,1,7,2,7,M,31,2,,6,8
234,2,4,4,7,M,31,2,,6,8
234,3,5,2,7,M,31,2,,6,8
234,4,8,2,7,M,31,2,,6,8
234,5,3,1,6,M,31,2,,6,8
234,6,2,1,6,M,31,2,,6,8
234,7,6,3,7,M,31,2,,6,8
234,8,1,4,7,M,31,2,,6,8
235,1,1,1,6,M,24,5,,4,6
235,2,7,3,7,M,24,5,,4,6
235,3,3,4,7,M,24,5,,4,6
235,4,8,1,7,M,24,5,,4,6
235,5,5,4,7,M,24,5,,4,6
235,6,4,3,7,M,24,5,,4,6
235,7,2,1,6,M,24,5,,4,6
235,8,6,4,7,M,24,5,,4,6
236,1,2,4,7,M,24,3,,4,10
236,2,3,1,6,M,24,3,,4,10
236,3,4,4,7,M,24,3,,4,10
236,4,8,4,7,M,24,3,,4,10
236,5,5,4,7,M,24,3,,4,10
236,6,6,2,7,M,24,3,,4,10
236,7,1,4,7,M,24,3,,4,10
236,8,7,2,7,M,24,3,,4,10
237,1,2,1,6,M,19,3,,4,5
237,2,4,1,6,M,19,3,,4,5
237,3,8,3,7,M,19,3,,4,5
237,4,7,2,7,M,19,3,,4,5
237,5,1,4,7,M,19,3,,4,5
237,6,6,1,6,M,19,3,,4,5
237,7,3,2,7,M,19,3,,4,5
237,8,5,4,7,M,19,3,,4,5
238,1,3,1,6,F,22,1,,4,6
238,2,5,3,7,F,22,1,,4,6
238,3,7,3,6,F,22,1,,4,6
238,4,8,2,7,F,22,1,,4,6
238,5,1,3,6,F,22,1,,4,6
238,6,2,3,7,F,22,1,,4,6
238,7,4,3,6,F,22,1,,4,6
238,8,6,3,7,F,22,1,,4,6
239,1,1,2,7,F,29,5,,2,6
239,2,8,3,7,F,29,5,,2,6
239,3,3,1,6,F,29,5,,2,6
239,4,5,3,7,F,29,5,,2,6
239,5,2,1,6,F,29,5,,2,6
239,6,4,3,7,F,29,5,,2,6
239,7,7,3,7,F,29,5,,2,6
239,8,6,3,7,F,29,5,,2,6
240,1,1,3,7,M,24,5,,4,4
240,2,2,3,7,M,24,5,,4,4
240,3,4,3,7,M,24,5,,4,4
240,4,8,1,6,M,24,5,,4,4
240,5,7,4,7,M,24,5,,4,4
240,6,3,1,6,M,24,5,,4,4
240,7,5,4,7,M,24,5,,4,4
240,8,6,1,6,M,24,5,,4,4
241,1,2,3,7,M,38,5,,2,8
241,2,4,3,7,M,38,5,,2,8
241,3,5,4,7,M,38,5,,2,8
241,4,3,1,6,M,38,5,,2,8
241,5,8,2,7,M,38,5,,2,8
241,6,7,3,7,M,38,5,,2,8
241,7,6,1,6,M,38,5,,2,8
241,8,1,1,6,M,38,5,,2,8
242,1,4,3,7,M,38,5,,5,3
242,2,5,3,7,M,38,5,,5,3
242,3,7,1,6,M,38,5,,5,3
242,4,6,1,6,M,38,5,,5,3
242,5,3,2,7,M,38,5,,5,3
242,6,1,4,7,M,38,5,,5,3
242,7,2,1,6,M,38,5,,5,3
242,8,8,3,7,M,38,5,,5,3
243,1,3,1,6,M,25,3,,6,4
243,2,5,3,7,M,25,3,,6,4
243,3,6,3,7,M,25,3,,6,4
243,4,8,1,6,M,25,3,,6,4
243,5,2,4,7,M,25,3,,6,4
243,6,4,1,6,M,25,3,,6,4
243,7,1,2,7,M,25,3,,6,4
243,8,7,2,7,M,25,3,,6,4
244,1,6,1,6,M,28,5,,5,6
244,2,4,1,6,M,28,5,,5,6
244,3,8,1,7,M,28,5,,5,6
244,4,1,4,7,M,28,5,,5,6
244,5,7,2,7,M,28,5,,5,6
244,6,2,3,7,M,28,5,,5,6
244,7,3,1,6,M,28,5,,5,6
244,8,5,2,7,M,28,5,,5,6
245,1,5,4,7,F,33,5,,5,6
245,2,1,4,7,F,33,5,,5,6
245,3,2,3,7,F,33,5,,5,6
245,4,8,2,7,F,33,5,,5,6
245,5,3,1,6,F,33,5,,5,6
245,6,7,2,7,F,33,5,,5,6
245,7,4,1,6,F,33,5,,5,6
245,8,6,2,7,F,33,5,,5,6
246,1,5,3,7,M,38,5,,5,6
246,2,4,2,7,M,38,5,,5,6
246,3,1,2,7,M,38,5,,5,6
246,4,2,3,7,M,38,5,,5,6
246,5,3,3,7,M,38,5,,5,6
246,6,8,2,7,M,38,5,,5,6
246,7,7,2,7,M,38,5,,5,6
246,8,6,2,7,M,38,5,,5,6
247,1,4,2,7,M,27,5,,5,4
247,2,6,1,7,M,27,5,,5,4
247,3,8,4,7,M,27,5,,5,4
247,4,3,1,7,M,27,5,,5,4
247,5,2,2,7,M,27,5,,5,4
247,6,1,2,7,M,27,5,,5,4
247,7,5,2,7,M,27,5,,5,4
247,8,7,1,6,M,27,5,,5,4
248,1,4,4,7,M,29,5,,4,9
248,2,3,3,7,M,29,5,,4,9
248,3,7,2,7,M,29,5,,4,9
248,4,5,4,7,M,29,5,,4,9
248,5,2,1,6,M,29,5,,4,9
248,6,1,2,6,M,29,5,,4,9
248,7,8,3,7,M,29,5,,4,9
248,8,6,2,7,M,29,5,,4,9
249,1,8,3,7,M,21,3,,4,6
249,2,7,4,7,M,21,3,,4,6
249,3,6,4,7,M,21,3,,4,6
249,4,3,1,6,M,21,3,,4,6
249,5,5,1,6,M,21,3,,4,6
249,6,1,2,7,M,21,3,,4,6
249,7,2,3,7,M,21,3,,4,6
249,8,4,3,7,M,21,3,,4,6
250,1,8,4,7,F,18,5,,4,8
250,2,3,3,7,F,18,5,,4,8
250,3,2,3,7,F,18,5,,4,8
250,4,1,1,6,F,18,5,,4,8
250,5,7,1,6,F,18,5,,4,8
250,6,6,1,6,F,18,5,,4,8
250,7,4,2,7,F,18,5,,4,8
250,8,5,1,6,F,18,5,,4,8
251,1,4,1,6,M,23,5,,4,8
251,2,5,3,7,M,23,5,,4,8
251,3,3,1,7,M,23,5,,4,8
251,4,2,3,7,M,23,5,,4,8
251,5,7,4,7,M,23,5,,4,8
251,6,8,3,7,M,23,5,,4,8
251,7,6,3,7,M,23,5,,4,8
251,8,1,1,7,M,23,5,,4,8
252,1,2,1,6,M,38,5,,2,8
252,2,5,3,7,M,38,5,,2,8
252,3,3,4,7,M,38,5,,2,8
252,4,6,1,6,M,38,5,,2,8
252,5,1,2,7,M,38,5,,2,8
252,6,7,4,7,M,38,5,,2,8
252,7,8,1,6,M,38,5,,2,8
252,8,4,1,6,M,38,5,,2,8
253,1,5,3,7,F,31,5,,5,8
253,2,4,3,7,F,31,5,,5,8
253,3,3,3,7,F,31,5,,5,8
253,4,6,2,6,F,31,5,,5,8
253,5,1,1,6,F,31,5,,5,8
253,6,2,3,7,F,31,5,,5,8
253,7,7,2,6,F,31,5,,5,8
253,8,8,4,7,F,31,5,,5,8
254,1,2,1,6,M,28,2,,5,6
254,2,1,3,7,M,28,2,,5,6
254,3,8,4,7,M,28,2,,5,6
254,4,4,1,6,M,28,2,,5,6
254,5,5,1,6,M,28,2,,5,6
254,6,3,1,6,M,28,2,,5,6
254,7,6,2,7,M,28,2,,5,6
254,8,7,2,7,M,28,2,,5,6
255,1,8,2,7,F,21,5,,4,7
255,2,5,2,7,F,21,5,,4,7
255,3,4,1,6,F,21,5,,4,7
255,4,6,3,7,F,21,5,,4,7
255,5,7,2,7,F,21,5,,4,7
255,6,2,1,6,F,21,5,,4,7
255,7,1,3,7,F,21,5,,4,7
255,8,3,1,6,F,21,5,,4,7
256,1,6,3,7,F,46,5,,6,6
256,2,1,3,7,F,46,5,,6,6
256,3,4,2,7,F,46,5,,6,6
256,4,7,4,7,F,46,5,,6,6
256,5,8,1,6,F,46,5,,6,6
256,6,2,1,6,F,46,5,,6,6
256,7,5,1,6,F,46,5,,6,6
256,8,3,4,7,F,46,5,,6,6
257,1,4,2,7,F,32,5,,2,9
257,2,8,1,6,F,32,5,,2,9
257,3,6,4,7,F,32,5,,2,9
257,4,7,4,7,F,32,5,,2,9
257,5,5,1,6,F,32,5,,2,9
257,6,3,1,6,F,32,5,,2,9
257,7,1,4,7,F,32,5,,2,9
257,8,2,3,7,F,32,5,,2,9
258,1,6,4,7,M,28,1,,5,8
258,2,1,3,7,M,28,1,,5,8
258,3,3,1,6,M,28,1,,5,8
258,4,8,3,7,M,28,1,,5,8
258,5,4,3,7,M,28,1,,5,8
258,6,2,2,7,M,28,1,,5,8
258,7,7,2,7,M,28,1,,5,8
258,8,5,1,6,M,28,1,,5,8
259,1,7,1,6,F,38,5,,5,6
259,2,1,1,6,F,38,5,,5,6
259,3,4,3,7,F,38,5,,5,6
259,4,3,1,6,F,38,5,,5,6
259,5,5,4,7,F,38,5,,5,6
259,6,2,4,7,F,38,5,,5,6
259,7,6,2,7,F,38,5,,5,6
259,8,8,2,7,F,38,5,,5,6
260,1,3,1,7,M,27,5,,2,7
260,2,8,1,7,M,27,5,,2,7
260,3,5,3,7,M,27,5,,2,7
260,4,2,2,7,M,27,5,,2,7
260,5,1,4,7,M,27,5,,2,7
260,6,4,1,6,M,27,5,,2,7
260,7,6,2,7,M,27,5,,2,7
260,8,7,2,7,M,27,5,,2,7
261,1,2,1,6,M,48,5,,2,6
261,2,5,4,7,M,48,5,,2,6
261,3,3,3,7,M,48,5,,2,6
261,4,1,3,7,M,48,5,,2,6
261,5,4,2,7,M,48,5,,2,6
261,6,6,4,7,M,48,5,,2,6
261,7,8,1,6,M,48,5,,2,6
261,8,7,3,7,M,48,5,,2,6
262,1,4,3,7,M,27,5,,5,7
262,2,5,3,7,M,27,5,,5,7
262,3,7,4,7,M,27,5,,5,7
262,4,3,2,7,M,27,5,,5,7
262,5,6,2,7,M,27,5,,5,7
262,6,1,1,7,M,27,5,,5,7
262,7,2,4,7,M,27,5,,5,7
262,8,8,4,7,M,27,5,,5,7
263,1,4,2,7,M,28,5,,5,8
263,2,8,3,7,M,28,5,,5,8
263,3,6,2,7,M,28,5,,5,8
263,4,3,2,7,M,28,5,,5,8
263,5,2,4,7,M,28,5,,5,8
263,6,1,4,7,M,28,5,,5,8
263,7,5,2,7,M,28,5,,5,8
263,8,7,3,7,M,28,5,,5,8
264,1,7,4,7,F,59,5,,2,8
264,2,3,1,6,F,59,5,,2,8
264,3,1,3,7,F,59,5,,2,8
264,4,8,4,7,F,59,5,,2,8
264,5,2,4,7,F,59,5,,2,8
264,6,6,4,7,F,59,5,,2,8
264,7,5,1,6,F,59,5,,2,8
264,8,4,4,7,F,59,5,,2,8
265,1,8,3,7,M,21,1,,4,7
265,2,7,4,7,M,21,1,,4,7
265,3,3,3,7,M,21,1,,4,7
265,4,1,3,7,M,21,1,,4,7
265,5,5,4,7,M,21,1,,4,7
265,6,4,2,7,M,21,1,,4,7
265,7,2,3,7,M,21,1,,4,7
265,8,6,1,6,M,21,1,,4,7
266,1,1,4,7,M,24,5,,5,4
266,2,4,2,7,M,24,5,,5,4
266,3,3,3,7,M,24,5,,5,4
266,4,8,2,7,M,24,5,,5,4
266,5,2,2,7,M,24,5,,5,4
266,6,6,4,7,M,24,5,,5,4
266,7,5,1,6,M,24,5,,5,4
266,8,7,2,7,M,24,5,,5,4
267,1,1,1,6,F,34,5,,4,6
267,2,8,4,7,F,34,5,,4,6
267,3,6,3,7,F,34,5,,4,6
267,4,2,2,7,F,34,5,,4,6
267,5,3,2,7,F,34,5,,4,6
267,6,4,1,6,F,34,5,,4,6
267,7,7,1,6,F,34,5,,4,6
267,8,5,2,7,F,34,5,,4,6
268,1,3,3,7,M,24,5,,5,4
268,2,5,4,7,M,24,5,,5,4
268,3,6,2,7,M,24,5,,5,4
268,4,8,2,7,M,24,5,,5,4
268,5,7,2,7,M,24,5,,5,4
268,6,1,3,7,M,24,5,,5,4
268,7,2,3,7,M,24,5,,5,4
268,8,4,3,7,M,24,5,,5,4
269,1,1,3,7,F,20,5,,4,5
269,2,5,1,6,F,20,5,,4,5
269,3,7,2,7,F,20,5,,4,5
269,4,4,4,7,F,20,5,,4,5
269,5,8,1,6,F,20,5,,4,5
269,6,6,1,6,F,20,5,,4,5
269,7,2,1,6,F,20,5,,4,5
