"age.group","violation.type","scenario","mean","sd","moral","probable","possible","intersection"
"3 yrs","Physical violation","Ball",100,0,-0.333333333333333,1,0.904761904761905,1.57142857142857
"3 yrs","Physical violation","Basketball",42.8571428571429,0.534522483824849,-0.5,0.888888888888889,0.851851851851852,1.24074074074074
"3 yrs","Physical violation","Best Friend",87.5,0.353553390593274,0.142857142857143,1,1,2.14285714285714
"3 yrs","Physical violation","Candy Bar",100,0,-1,0.888888888888889,1,0.888888888888889
"3 yrs","Physical violation","Chores",57.1428571428571,0.534522483824849,-0.777777777777778,0.833333333333333,0.91304347826087,0.968599033816425
"3 yrs","Physical violation","Movie",75,0.5,-0.428571428571429,0.75,0.909090909090909,1.23051948051948
"3 yrs","Physical violation","School",100,0,-0.111111111111111,1,0.909090909090909,1.7979797979798
"3 yrs","Physical violation","T-Shirt",75,0.5,0.6,1,0.851851851851852,2.45185185185185
"3 yrs","Probability violation","Ball",50,0.547722557505166,-1,-0.230769230769231,-0.75,-1.98076923076923
"3 yrs","Probability violation","Basketball",0,0,-0.9,0.130434782608696,-0.652173913043478,-1.42173913043478
"3 yrs","Probability violation","Best Friend",50,0.577350269189626,-0.76,-0.0833333333333333,-0.826086956521739,-1.66942028985507
"3 yrs","Probability violation","Candy Bar",55.5555555555556,0.52704627669473,-1,0.363636363636364,-1,-1.63636363636364
"3 yrs","Probability violation","Chores",40,0.547722557505166,-0.478260869565217,0,-1,-1.47826086956522
"3 yrs","Probability violation","Movie",75,0.5,-0.916666666666667,-0.2,-0.92,-2.03666666666667
"3 yrs","Probability violation","School",66.6666666666667,0.516397779494322,-0.5,-0.416666666666667,-0.75,-1.66666666666667
"3 yrs","Probability violation","T-Shirt",50,0.707106781186548,-1,-0.272727272727273,-0.925925925925926,-2.1986531986532
"3 yrs","Non-violation","Ball",0,0,-1,-0.68,-0.826086956521739,-2.50608695652174
"3 yrs","Non-violation","Basketball",40,0.547722557505166,-0.91304347826087,-0.826086956521739,-1,-2.73913043478261
"3 yrs","Non-violation","Best Friend",33.3333333333333,0.577350269189626,-1,-1,-0.916666666666667,-2.91666666666667
"3 yrs","Non-violation","Candy Bar",0,0,-1,-0.75,-0.846153846153846,-2.59615384615385
"3 yrs","Non-violation","Chores",66.6666666666667,0.577350269189626,-0.909090909090909,-0.851851851851852,-1,-2.76094276094276
"3 yrs","Non-violation","Movie",62.5,0.517549169506766,-0.92,-0.84,-0.846153846153846,-2.60615384615385
"3 yrs","Non-violation","School",25,0.462910049886276,-1,-1,-1,-3
"3 yrs","Non-violation","T-Shirt",37.5,0.517549169506766,-1,-0.909090909090909,-0.851851851851852,-2.76094276094276
"3 yrs","Moral violation","Ball",80,0.447213595499958,0.68,-0.84,-0.92,-1.08
"3 yrs","Moral violation","Basketball",50,0.547722557505166,0.84,-0.166666666666667,-0.851851851851852,-0.178518518518519
"3 yrs","Moral violation","Best Friend",60,0.547722557505166,0.692307692307692,-0.75,-1,-1.05769230769231
"3 yrs","Moral violation","Candy Bar",80,0.447213595499958,1,-0.5,-0.92,-0.42
"3 yrs","Moral violation","Chores",100,0,0.76,-0.851851851851852,-1,-1.09185185185185
"3 yrs","Moral violation","Movie",100,0,0.916666666666667,-0.68,-0.769230769230769,-0.532564102564103
"3 yrs","Moral violation","School",33.3333333333333,0.577350269189626,0.407407407407407,-0.75,-0.739130434782609,-1.0817230273752
"3 yrs","Moral violation","T-Shirt",50,0.547722557505166,0.769230769230769,-0.714285714285714,-0.692307692307692,-0.637362637362637
"4-5 yrs","Physical violation","Ball",88.8888888888889,0.333333333333333,-0.333333333333333,1,0.904761904761905,1.57142857142857
"4-5 yrs","Physical violation","Basketball",87.5,0.353553390593274,-0.5,0.888888888888889,0.851851851851852,1.24074074074074
